"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",-0.00183453,-0.00162702,-0.000464872,-0.00144257,-0.00160749,-0.000502008,-0.0011307,-0.0019691,-0.00129431,-0.00098381,-0.00122788,-0.00151779,-0.00167067,-0.00155433,-0.0015807,-0.00129176,-0.00164365,-0.000383496,-0.000881365,-0.00149898,-0.0015063,-0.00152158,-0.00174102,-0.00141015,-0.00387988,-0.0044693,0.00153697,-0.000817779,-0.00198271,-0.00160157,-0.00192822,-0.00183525,-0.00101105,-0.000883242,-0.00146051,-0.00393653,-0.00433006,-0.00382093,-0.00391697
"2",-0.00149647,-0.00126078,-0.000330031,-0.00109412,-0.0011549,-5.397e-06,-0.000801074,-0.00162728,-0.000951743,-0.000542319,-0.000849479,-0.00112648,-0.00130236,-0.00102239,-0.00117406,-0.000921094,-0.0012955,2.1294e-05,-0.000497496,-0.00107425,-0.00116888,-0.00107638,-0.00127508,-0.00108152,-0.00353948,-0.00408275,0.00184773,-0.000450659,-0.00157514,-0.00115834,-0.00160816,-0.00145768,-0.000589618,-0.000384158,-0.0010678,-0.00352691,-0.00394967,-0.00341385,-0.0035149
"3",-0.00100877,-0.000748178,0.000180721,-0.000595769,-0.000548375,0.000656855,-0.000323075,-0.00113569,-0.000473222,4.6605e-05,-0.000325927,-0.000589103,-0.00077863,-0.000331348,-0.000617278,-0.000405037,-0.000809053,0.000582531,3.6174e-05,-0.000489146,-0.000670987,-0.000480813,-0.000638291,-0.000610077,-0.00303907,-0.00354661,0.00229499,6.2463e-05,-0.00101751,-0.000563559,-0.00114183,-0.000930047,-1.1423e-05,0.000283623,-0.000532553,-0.00297107,-0.00342818,-0.00285719,-0.00295745
"4",-0.000360361,-6.5377e-05,0.00112131,8.1742e-05,0.000243816,0.001522,0.000319657,-0.000468877,0.000177854,0.000821555,0.000363177,0.000111297,-6.9812e-05,0.000552022,0.00010519,0.000285125,-0.000148812,0.00132665,0.000750372,0.000286803,2.5389e-05,0.000298399,0.00019978,2.8631e-05,-0.00235664,-0.00283348,0.00290581,0.000749525,-0.00027478,0.000218484,-0.000514072,-0.000219843,0.000759697,0.00116544,0.000177577,-0.00223695,-0.00273506,-0.00212393,-0.00221828
"5",0.000465953,0.000817591,0.00246468,0.000971907,0.00125888,0.00263118,0.00114862,0.000398579,0.0010386,0.0018227,0.00124071,0.0009965,0.000854015,0.00166201,0.00101166,0.00118252,0.000723278,0.0022817,0.00167746,0.00128703,0.000956413,0.00129779,0.00127389,0.000859117,-0.00146734,-0.0019128,0.00371184,0.00163898,0.000693989,0.00122606,0.000292617,0.000709781,0.0017601,0.00231167,0.00110197,-0.00128828,-0.00183325,-0.00118371,-0.00126829
"6",0.00150213,0.00194273,0.00413994,0.00211363,0.00255139,0.00403656,0.00220391,0.00150202,0.00215101,0.00309958,0.00234275,0.00210848,0.00203448,0.00305126,0.00214038,0.00232825,0.00184741,0.00348617,0.00285769,0.00255565,0.00216168,0.00256686,0.00262867,0.00191467,-0.000328177,-0.000742015,0.00475583,0.00277248,0.0019363,0.00250857,0.00131245,0.00189936,0.00303782,0.0037772,0.00228395,-7.9426e-05,-0.000683317,4.968e-06,-6.8876e-05
"7",0.00279755,0.00335377,0.00607489,0.00354455,0.00417695,0.00579118,0.003541,0.00287496,0.00355081,0.00470214,0.00371612,0.00350478,0.00351821,0.0047768,0.00355266,0.00376483,0.00325907,0.00498274,0.00433252,0.00413203,0.00367979,0.00415091,0.00432366,0.00323901,0.00110773,0.000722292,0.00607977,0.00418956,0.00349891,0.00411968,0.00259583,0.0033892,0.00464017,0.00561694,0.00375362,0.00143824,0.000754109,0.00148833,0.00142754
"8",0.00441033,0.00508844,0.008237991,0.00529871,0.00618847,0.00794495,0.00522499,0.00454779,0.00526414,0.00666913,0.0054172,0.00526081,0.00534777,0.00689478,0.00532919,0.00552384,0.00498622,0.00681076,0.00613245,0.00605407,0.00554432,0.00608839,0.0064285,0.00487696,0.00288253,0.00252384,0.00772401,0.00593012,0.00542131,0.00610203,0.00420591,0.00521331,0.0066052,0.00788032,0.00553359,0.00330759,0.002512,0.00331209,0.00326724
"9",0.00639712,0.00717,0.0106319,0.00739484,0.00862177,0.010536,0.00732131,0.006539,0.00729645,0.00902046,0.00748893,0.00744824,0.00755434,0.00944115,0.00754403,0.00761691,0.00703766,0.00899172,0.008272341,0.008337501,0.0077734,0.00840541,0.009000082,0.00686259,0.0050173,0.00469484,0.00971355,0.008015091,0.00772799,0.0084849,0.00620798,0.00738744,0.008951101,0.0106006,0.00762407,0.00555449,0.00461068,0.00550812,0.00548015
"10",0.00888362,0.00968579,0.0133557,0.0099215,0.011594201,0.013691001,0.00997348,0.00893641,0.00971467,0.0118528,0.0100426,0.0102205,0.0102482,0.0125419,0.0103552,0.0101206,0.009493301,0.0116136,0.0108403,0.0110766,0.010465501,0.0111953,0.012190999,0.00929623,0.00760162,0.00734669,0.0121367,0.0105363,0.010519801,0.011370501,0.00873585,0.0100018,0.0117735,0.0139008,0.0100881,0.00828582,0.00715034,0.00818432,0.00817705
"11",0.0120037,0.0127408,0.016541701,0.012992901,0.0152427,0.017562401,0.0133356,0.0118497,0.012613,0.015291701,0.013205101,0.013736901,0.0135629,0.0163403,0.013921,0.013138801,0.0124557,0.014788801,0.013948301,0.014389801,0.0137461,0.014578,0.0161734,0.0122974,0.010749401,0.0106114,0.0151011,0.013607,0.0139255,0.0148866,0.0119354,0.0131649,0.0151988,0.0179356,0.0130182,0.011632601,0.0102605,0.0114732,0.011487501
"12",0.015891101,0.016465101,0.020346101,0.016750501,0.0197313,0.0223304,0.017556999,0.015411501,0.0161185,0.019494202,0.017114401,0.0181472,0.017653,0.021005999,0.0183881,0.0168097,0.0160565,0.0186556,0.0177358,0.018422401,0.0177649,0.018697901,0.0211324,0.016000601,0.014602301,0.014647901,0.018737501,0.017361199,0.0180967,0.019188501,0.0159538,0.017010601,0.019378399,0.022895101,0.0165384,0.015745001,0.0140982,0.015530701,0.015562901
"13",0.020733399,0.021066699,0.025009001,0.021418501,0.025318403,0.028273901,0.022849301,0.0198294,0.0204402,0.024706502,0.021978501,0.0236485,0.022755701,0.026801202,0.0239552,0.0213542,0.020505901,0.0234321,0.0224232,0.023409601,0.0227529,0.0237907,0.0273386,0.020604201,0.019389801,0.0196961,0.023251401,0.022004901,0.023273,0.02452,0.020988001,0.0217559,0.0245609,0.029083902,0.0208611,0.0208617,0.0189014,0.020592701,0.020637501
"14",0.026784301,0.026835799,0.0308521,0.0272971,0.0323532,0.035762701,0.029490899,0.025385201,0.02586,0.0312628,0.028078999,0.030504102,0.029194901,0.034088001,0.0308873,0.027075702,0.0260869,0.029413801,0.028315101,0.0296745,0.029029101,0.0301826,0.0351515,0.026373902,0.025423402,0.026076,0.028921401,0.0278241,0.029779499,0.031215599,0.0272955,0.027700502,0.031095702,0.036915399,0.026272699,0.0273045,0.024982201,0.026978999,0.0270348
"15",0.034373801,0.034133799,0.038274802,0.034754802,0.041262701,0.045244202,0.037838303,0.032423101,0.0327303,0.039576899,0.035779603,0.039062101,0.037364699,0.0433065,0.039547302,0.0343454,0.033157401,0.036974002,0.035785601,0.0376167,0.036983799,0.038276203,0.045020901,0.033650201,0.033082802,0.034178302,0.036098503,0.035175499,0.038015902,0.0396896,0.035217501,0.0352237,0.0394045,0.046889998,0.033131599,0.035473101,0.032719001,0.035077803,0.035151601
"16",0.043856103,0.043324299,0.047695402,0.044151902,0.052469902,0.057156198,0.0482671,0.0412874,0.041401099,0.050057501,0.045456,0.049712401,0.047647901,0.054885704,0.050338101,0.043520503,0.042069502,0.046489801,0.045199301,0.047636203,0.046998102,0.048477702,0.057392299,0.042780701,0.042729601,0.044388402,0.045137502,0.0444175,0.048379902,0.050354201,0.045119602,0.044702601,0.049889602,0.059481103,0.0417892,0.045758199,0.042478301,0.045266699,0.045370501
"17",0.0555875,0.054734804,0.059513904,0.055796303,0.066338301,0.071875304,0.061138801,0.0522888,0.052180201,0.063061401,0.057447899,0.062861003,0.060372699,0.069194302,0.063674301,0.0549074,0.053131502,0.0582968,0.056874402,0.0600776,0.059403699,0.0611443,0.0726583,0.054085404,0.054675899,0.057042003,0.0563628,0.055875599,0.061222203,0.063571498,0.057357203,0.0564784,0.062886402,0.075065702,0.052557003,0.058504302,0.054581802,0.057876699,0.058025599
