"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",-35939,-30481,-32010,-14051,-25713,-11346,-20493,-11810,-20513,-12924,-27319,-9674.4,-27276,-17803,-26215,-30643,-14391,-20185,-10995,-14030,-16552,-10995,-6970.1,-16444,-18526,-10790,-12917,-15820,-18107,-17854,-25796,-9618,-27604,-15590,-2738,-26182,-9458,-19479,-19948,-25867
"2",-8218.4,-35609,-38156,-10380,-26160,-10686,-22212,-9986,-25336,-15351,-23939,-18540,-27954,-19865,-22754,-24746,-3407.3,-14812,-15225,-14752,-16291,-10053,-7085.1,-16171,-18688,-11372,-13618,-16226,-18296,-17782,-26565,-9636.1,-26827,-15529,-1593.2,-26575,-10017,-19263,-20205,-24676
"3",-35566,-30766,-33209,-13839,-25398,-11579,-20787,-10702,-19111,-14085,-28311,-9800.6,-26982,-18309,-26326,-29710,-14896,-20928,-10704,-13801,-16786,-10731,-6922.8,-16352,-18691,-10774,-13264,-15637,-18136,-18430,-25611,-9487.3,-26885,-15673,-2593.8,-25996,-8748.2,-19669,-20176,-24960
"4",-7974.6,-36848,-38436,-8608.5,-26221,-11473,-22560,-10060,-25989,-14468,-23342,-18601,-29633,-20053,-22368,-25104,-1920,-14359,-15099,-15148,-16874,-10161,-7022,-16221,-19011,-11454,-13832,-15977,-18337,-17848,-26479,-9879.4,-26179,-15448,-1534.6,-26918,-9388.2,-19277,-20261,-24221
"5",-33679,-31243,-33034,-13530,-25812,-11495,-18992,-11106,-19299,-13260,-27678,-10240,-26763,-17737,-26794,-30641,-13954,-19615,-11186,-14100,-17003,-10815,-7033.2,-16699,-18918,-10720,-13679,-15543,-18341,-18172,-25508,-9847.9,-27073,-15691,-2578,-26776,-8561.1,-19727,-19993,-24955
"6",-7753.7,-37084,-39027,-8448.5,-26087,-10875,-22580,-10268,-25933,-15128,-23308,-18601,-27525,-19802,-22594,-25713,-2602.8,-14598,-14826,-14961,-16980,-9989.9,-6884.5,-15986,-19087,-11352,-14452,-15591,-18517,-18068,-26648,-9908.7,-26413,-15624,-1367.9,-26763,-9737.5,-19281,-20669,-24168
"7",-34547,-30575,-33681,-13868,-26190,-10519,-20635,-10898,-21133,-12798,-27033,-8840.6,-27263,-17689,-26925,-29825,-15601,-20599,-11572,-13828,-16987,-10948,-6931.8,-16282,-18722,-10692,-13762,-15269,-18436,-18344,-25963,-9798.3,-26677,-15797,-2922.8,-26606,-8942,-19349,-20397,-24947
"8",-7972.1,-36874,-37671,-9579.7,-26405,-11998,-23865,-10131,-26499,-15926,-22903,-17981,-28930,-21831,-22177,-25821,-2884.5,-14817,-14371,-14975,-16714,-10330,-6961.1,-16011,-18785,-11526,-14048,-15175,-18411,-17782,-26900,-10170,-26141,-15621,-2136.3,-27055,-9902,-18900,-20532,-24178
"9",-35817,-31937,-34512,-13339,-26566,-11939,-20897,-10943,-19370,-14121,-27081,-7991,-27185,-18108,-26416,-30019,-14463,-21282,-10887,-13931,-16955,-10837,-6940.8,-16773,-18797,-10850,-13454,-14855,-18506,-17882,-25663,-9820.8,-27139,-15921,-2952.1,-26265,-8556.6,-19259,-20279,-25102
"10",-7791.7,-36899,-38801,-9253,-26137,-11392,-22552,-9960.6,-27175,-15407,-22199,-17954,-29232,-20869,-22222,-26141,-3571.8,-15168,-14310,-14695,-17075,-10224,-7186.5,-16252,-18592,-11642,-14010,-15302,-18544,-17214,-26722,-9762.3,-26580,-15682,-1850.1,-26362,-9597.7,-19175,-20782,-24505
"11",-34783,-31807,-33945,-13363,-24634,-11110,-21239,-10451,-20663,-13564,-27081,-8712.1,-28340,-18682,-26628,-30659,-14594,-19831,-11333,-13715,-17001,-10558,-7060.3,-16690,-18319,-10734,-13778,-15253,-18533,-17320,-26066,-9554.9,-26822,-15419,-2672.7,-25813,-8522.8,-19725,-20277,-25204
"12",-7591.1,-36721,-38329,-9579.7,-26174,-11310,-23408,-8449.5,-26994,-15856,-22546,-19207,-28389,-20132,-23004,-25704,-2663.7,-15461,-14432,-14909,-16965,-10199,-6857.5,-16320,-18470,-10850,-14641,-15177,-18256,-16878,-26697,-9613.5,-26141,-15159,-1611.3,-26235,-9471.5,-19500,-21138,-23766
"13",-34550,-32643,-34298,-13185,-25064,-10905,-20089,-10027,-21384,-13586,-27398,-8599.4,-27642,-17943,-26997,-29113,-14287,-20633,-12038,-13095,-16958,-10715,-7186.5,-16786,-18265,-10396,-13765,-14702,-18292,-17166,-25771,-9561.7,-27004,-15793,-2596.1,-25923,-7979.7,-19628,-20399,-25267
"14",-7461.6,-36795,-39550,-9257.5,-24758,-10265,-23934,-9876.8,-26888,-16077,-23286,-19662,-28290,-20180,-23845,-25312,-2233.2,-15026,-13931,-14366,-16931,-10157,-7220.3,-16189,-18330,-11304,-13972,-14872,-18278,-16708,-26853,-9708.2,-26532,-15779,-1496.3,-26303,-9216.9,-19306,-20264,-24429
"15",-35380,-30941,-33349,-13280,-24891,-10966,-20833,-10044,-20874,-13737,-26713,-8340.3,-27512,-18646,-26459,-29352,-14715,-21185,-12455,-14008,-16915,-10916,-7163.9,-16931,-18767,-10412,-13025,-14479,-18405,-17056,-26015,-9823.1,-26908,-15964,-2350.4,-26542,-8018,-19599,-19759,-25905
"16",-7324.4,-37003,-38850,-9953.8,-24252,-10310,-23690,-9681.3,-26651,-14898,-21451,-19626,-28358,-20884,-23358,-25614,-3639.4,-15579,-13814,-15477,-16705,-10344,-7522.3,-16237,-18873,-11250,-13546,-15076,-18623,-16432,-26995,-9636.1,-26248,-15964,-1485.1,-26641,-8989.3,-19085,-20575,-24942
"17",-35672,-31426,-33676,-12870,-25606,-11425,-20333,-10370,-21204,-13776,-26269,-7898.6,-27266,-17917,-27340,-28998,-15017,-20232,-11182,-14348,-16737,-10903,-7233.8,-16935,-18673,-10770,-12931,-14024,-18425,-16482,-26272,-9654.1,-26964,-16205,-2519.4,-26027,-7614.6,-19664,-20259,-25653
"18",-7862.9,-36688,-37854,-9920,-24907,-11096,-22905,-9719.4,-26100,-15238,-21352,-19416,-27170,-20813,-23872,-24755,-3648.5,-15313,-13828,-15139,-16870,-10044,-6814.6,-16252,-18628,-11414,-13605,-14182,-18497,-15982,-27011,-9618,-26331,-15651,-996.06,-26621,-8613,-19045,-20651,-24561
"19",-36190,-30527,-34004,-13093,-25271,-10616,-19624,-9386.7,-20383,-12703,-27099,-8173.5,-27220,-18697,-26808,-28624,-13934,-19673,-12491,-13686,-16974,-10109,-6512.7,-16814,-18528,-10522,-13230,-14077,-18630,-16100,-25918,-9683.4,-26946,-15615,-2276.1,-26293,-7369,-19202,-20282,-25676
"20",-7784.1,-36632,-37785,-10269,-24638,-11579,-22875,-9338.4,-26933,-15076,-21755,-19847,-27068,-20173,-22842,-24960,-2643.4,-15993,-12922,-14684,-16739,-9514.4,-6934.1,-16171,-18772,-10680,-14006,-14839,-18368,-15914,-26416,-9755.5,-26281,-15563,-1388.2,-26484,-8606.2,-19042,-20868,-24691
"21",-35766,-30187,-33793,-13496,-25203,-11443,-20069,-10537,-20772,-13269,-26612,-7833.2,-27360,-19154,-26691,-29325,-14752,-20282,-12847,-13487,-17366,-10143,-6900.3,-16714,-18738,-10136,-13454,-14677,-18107,-16404,-25273,-9406.2,-26657,-15838,-2260.3,-26011,-7251.8,-19209,-20056,-25796
"22",-7481.9,-35454,-38672,-9413,-25105,-11326,-23698,-10276,-26545,-14560,-21762,-19574,-27035,-19987,-23612,-25652,-1980.8,-16768,-13307,-14842,-16978,-9796.1,-7283.4,-15531,-18706,-10976,-13796,-14717,-17821,-16186,-26461,-9340.8,-25923,-15612,-1162.8,-26405,-8511.5,-19038,-20532,-24556
